experience_level,salary,remote_ratio,company_size
SE,160080,100,M
SE,117000,0,M
SE,70200,0,M
SE,180360,100,M
SE,123280,100,M
MI,100000,0,L
SE,204500,0,M
SE,142200,0,M
SE,266000,0,M
SE,152000,0,M
SE,180000,0,M
SE,150000,0,M
SE,185000,100,L
MI,141662,0,M
MI,111700,0,M
SE,170000,0,M
SE,120000,0,M
SE,175000,0,M
SE,130000,0,M
MI,92000,0,M
MI,66000,0,M
EX,100000,0,M
EX,80000,0,M
MI,150000,0,M
MI,120000,0,M
SE,225500,0,M
SE,139400,0,M
SE,175000,0,M
SE,130000,0,M
SE,95000,0,M
SE,75000,0,M
SE,120000,0,M
SE,85000,0,M
SE,150000,0,M
SE,120000,0,M
EX,250000,0,M
EX,185000,0,M
SE,147100,0,M
SE,90700,0,M
SE,220000,0,M
SE,180000,0,M
SE,205150,0,M
SE,126800,0,M
SE,216500,0,M
SE,133800,0,M
SE,250000,100,M
SE,180000,100,M
SE,279500,0,M
SE,172800,0,M
SE,247500,0,M
SE,153000,0,M
SE,116000,0,M
SE,90000,0,M
MI,215000,0,M
MI,129000,0,M
SE,150000,0,M
SE,100000,0,M
EN,72000,50,L
SE,240000,100,L
SE,168400,0,M
SE,105200,0,M
SE,200000,0,M
SE,130000,0,M
SE,154000,0,M
SE,140000,0,M
SE,272250,100,M
SE,198000,100,M
SE,207500,100,M
SE,145600,100,M
EN,95000,100,M
SE,140000,100,L
SE,150000,0,M
SE,100000,0,M
EN,100000,0,M
EX,230000,0,M
EX,190000,0,M
SE,212800,0,L
SE,135500,0,L
MI,89000,0,M
MI,65000,0,M
SE,123088,0,M
SE,82425,0,M
MI,85000,100,M
MI,75000,100,M
MI,102000,50,S
SE,215000,100,M
SE,150000,0,M
SE,100000,0,M
SE,112200,0,M
SE,88000,0,M
SE,147100,0,M
SE,90700,0,M
SE,115100,0,M
SE,73900,0,M
MI,240000,0,M
MI,150000,0,M
SE,190000,0,M
SE,155000,0,M
MI,89000,100,M
MI,65000,100,M
SE,204500,0,M
SE,142200,0,M
EN,85000,100,S
EN,70000,100,M
SE,198800,0,M
SE,122600,0,M
SE,242990,100,M
SE,91210,100,M
EN,147100,0,M
EN,73900,0,M
SE,169000,100,M
SE,117500,100,M
SE,150000,0,M
SE,100000,0,M
SE,185000,100,M
SE,157250,100,M
SE,155500,100,M
SE,127500,100,M
SE,83900,0,L
MI,125000,50,L
SE,240000,100,L
EN,38000,100,L
SE,105000,100,L
MI,120000,0,M
MI,80000,0,M
EX,165000,0,M
EX,143000,0,M
MI,152000,0,M
MI,91000,0,M
SE,261201,100,M
SE,179520,100,M
SE,240000,0,M
SE,187000,0,M
SE,124000,100,M
SE,100000,100,M
SE,215000,0,M
SE,89000,0,M
SE,240000,100,M
SE,187000,100,M
SE,168400,0,M
SE,105200,0,M
SE,150000,0,M
SE,100000,0,M
SE,204500,0,M
SE,142200,0,M
MI,190000,0,M
MI,140000,0,M
MI,210000,0,M
MI,150000,0,M
MI,94000,0,M
MI,59000,0,M
SE,176000,0,M
SE,119700,0,M
SE,155000,100,M
SE,135000,100,M
SE,204500,0,M
SE,142200,0,M
MI,120000,0,M
MI,87000,0,M
SE,450000,50,L
SE,115000,0,M
SE,85000,0,M
MI,119910,0,M
MI,72324,0,M
SE,140000,0,M
SE,105000,0,M
SE,150000,50,L
SE,140000,0,M
SE,113000,0,M
SE,150000,0,M
SE,100000,0,M
SE,284000,100,M
SE,165000,100,M
EN,75000,0,L
EN,91200,100,L
MI,85000,100,M
MI,75000,100,M
SE,183000,100,M
SE,141000,100,M
MI,116000,0,M
MI,90000,0,M
MI,83000,100,M
MI,66000,100,M
SE,204500,0,M
SE,142200,0,M
SE,250000,100,M
SE,180000,100,M
SE,177300,100,M
SE,136300,100,M
SE,200400,100,M
SE,172100,100,M
MI,100000,100,M
MI,90000,100,M
SE,200400,100,M
SE,172100,100,M
SE,80000,100,M
SE,65000,100,M
SE,76950,0,L
SE,180000,100,M
SE,160000,100,M
SE,150000,0,M
SE,100000,0,M
SE,134000,50,L
MI,175000,100,L
SE,185900,0,M
SE,129300,0,M
SE,112200,0,M
SE,88000,0,M
MI,147800,0,M
MI,90400,0,M
SE,210000,100,M
SE,102000,100,S
SE,204500,0,M
SE,142200,0,M
SE,204500,100,M
SE,142200,100,M
SE,247500,0,M
SE,172200,0,M
MI,125000,100,L
EX,252000,50,L
SE,176000,0,M
SE,119700,0,M
SE,247500,0,M
SE,172200,0,M
SE,210000,100,M
SE,185000,100,M
SE,250000,100,M
SE,188000,100,M
MI,100000,100,L
MI,72000,100,L
