,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_size
156,2022,SE,FT,Security Engineer,82900,US,100,M
157,2022,SE,FT,Security Engineer,63900,US,100,M
158,2022,EN,FT,Security Analyst,75000,US,100,L
159,2022,EN,FT,Security Analyst,75000,US,100,L
160,2022,MI,FT,Security Analyst,89000,US,0,L
161,2022,MI,FT,Security Analyst,68462,US,0,L
163,2022,SE,FT,Security Engineer,276900,US,100,M
164,2022,SE,FT,Security Engineer,168400,US,100,M
165,2022,SE,FT,Security Engineer,105800,US,0,M
166,2022,SE,FT,Security Engineer,81600,US,0,M
167,2022,SE,FT,Security Specialist,177600,US,100,L
168,2022,SE,FT,Security Specialist,131300,US,100,L
169,2022,SE,FT,Security Engineer,120000,US,100,M
170,2022,SE,FT,Security Engineer,90000,US,100,M
171,2022,MI,FT,Security Engineer,145000,US,100,M
172,2022,MI,FT,Security Engineer,105400,US,100,M
173,2022,SE,FT,Security Engineer,220000,US,0,M
174,2022,SE,FT,Security Engineer,140000,US,0,M
175,2022,SE,FT,Security Engineer,175000,US,100,M
176,2022,SE,FT,Security Engineer,130000,US,100,M
178,2022,SE,FT,Security Engineer,60000,PK,100,M
179,2022,EN,PT,Penetration Tester,80000,IN,100,L
180,2022,MI,FT,Security Engineer,200100,US,100,M
181,2022,MI,FT,Security Engineer,160080,US,100,M
182,2022,MI,FT,Security Consultant,135000,US,100,M
183,2022,MI,FT,Security Consultant,100000,US,100,M
184,2022,SE,FT,Security Engineer,195000,US,100,M
185,2022,SE,FT,Security Engineer,170000,US,100,M
186,2022,MI,FT,Security Engineer,108070,US,100,M
187,2022,MI,FT,Security Engineer,91860,US,100,M
188,2022,SE,FT,Security Specialist,207800,US,100,L
189,2022,SE,FT,Security Specialist,153600,US,100,L
190,2022,MI,FT,Security Analyst,102600,US,100,M
191,2022,MI,FT,Security Analyst,82080,US,100,M
192,2022,MI,FT,Security Engineer,160000,US,0,M
193,2022,MI,FT,Security Engineer,110000,US,0,M
198,2022,MI,FT,Security Engineer,180000,US,100,M
199,2022,MI,FT,Security Engineer,140000,US,100,M
200,2022,EX,FT,Chief Information Security Officer,240000,US,100,M
201,2022,EX,FT,Chief Information Security Officer,180000,US,100,M
202,2022,MI,FT,DevSecOps,152000,US,0,M
203,2022,MI,FT,DevSecOps,91000,US,0,M
204,2022,MI,FT,Security Engineer,200100,US,100,M
205,2022,MI,FT,Security Engineer,160080,US,100,M
206,2022,MI,FT,Security Analyst,193800,US,100,M
207,2022,MI,FT,Security Analyst,62000,US,100,M
208,2022,SE,FT,Security Engineer,160000,US,100,L
209,2022,SE,FT,Security Engineer,120000,US,100,L
210,2022,SE,FT,Security Engineer,192400,US,100,M
211,2022,SE,FT,Security Engineer,90700,US,100,M
212,2022,SE,FT,Security Analyst,150260,US,100,M
213,2022,SE,FT,Security Analyst,109280,US,100,M
214,2022,SE,FT,Penetration Tester,175000,US,0,M
215,2022,SE,FT,Penetration Tester,90000,US,0,M
216,2022,SE,FT,Security Engineer,200100,US,100,M
217,2022,SE,FT,Security Engineer,160080,US,100,M
218,2022,SE,FT,DevSecOps,130200,US,100,M
219,2022,SE,FT,DevSecOps,106500,US,100,M
220,2022,SE,FT,Security Specialist,146800,US,100,M
221,2022,SE,FT,Security Specialist,118200,US,100,M
222,2022,SE,FT,Security Engineer,165200,US,100,M
223,2022,SE,FT,Security Engineer,133000,US,100,M
224,2022,SE,FT,Security Engineer,165200,US,100,M
225,2022,SE,FT,Security Engineer,133000,US,100,M
226,2022,SE,FT,Security Engineer,146800,US,100,M
227,2022,SE,FT,Security Engineer,118200,US,100,M
228,2022,SE,FT,Security Engineer,115700,US,100,M
229,2022,SE,FT,Security Engineer,94700,US,100,M
230,2022,MI,FT,Security Analyst,60000,US,100,M
231,2022,MI,FT,Security Analyst,50000,US,100,M
234,2022,SE,FT,Security Analyst,144200,US,0,M
235,2022,SE,FT,Security Analyst,132870,US,0,M
236,2022,SE,FT,Security Engineer,175000,US,0,M
237,2022,SE,FT,Security Engineer,120000,US,0,M
238,2022,SE,FT,Penetration Tester,180000,US,100,M
239,2022,SE,FT,Penetration Tester,80000,US,100,M
240,2022,MI,FT,DevSecOps,91670,US,0,L
241,2022,MI,FT,DevSecOps,63500,US,0,L
242,2022,SE,FT,Security Manager,180000,US,0,M
243,2022,SE,FT,Security Manager,90000,US,0,M
246,2022,SE,FT,Security Engineer,165400,US,100,M
247,2022,SE,FT,Security Engineer,132320,US,100,M
248,2022,SE,FT,Security Engineer,184800,US,100,M
249,2022,SE,FT,Security Engineer,148800,US,100,M
252,2022,SE,FT,Security Engineer,165400,US,100,M
253,2022,SE,FT,Security Engineer,132320,US,100,M
254,2022,MI,FT,Security Engineer,145000,US,100,M
255,2022,MI,FT,Security Engineer,118600,US,100,M
256,2022,MI,FT,DevSecOps,152000,US,0,M
257,2022,MI,FT,DevSecOps,91000,US,0,M
260,2022,SE,FT,DevSecOps,157000,US,0,M
261,2022,SE,FT,DevSecOps,108000,US,0,M
262,2022,SE,FT,Security Consultant,175000,US,100,M
263,2022,SE,FT,Security Consultant,90000,US,100,M
266,2022,SE,FT,Security Engineer,220000,US,100,M
267,2022,SE,FT,Security Engineer,165400,US,100,M
268,2022,SE,FT,Security Engineer,184800,US,100,M
269,2022,SE,FT,Security Engineer,148800,US,100,M
270,2022,SE,FT,Security Engineer,145000,US,100,M
271,2022,SE,FT,Security Engineer,118600,US,100,M
272,2022,SE,FT,Security Engineer,165400,US,0,M
273,2022,SE,FT,Security Engineer,132320,US,0,M
274,2022,SE,FT,Security Engineer,165400,US,100,M
275,2022,SE,FT,Security Engineer,132320,US,100,M
276,2022,SE,FT,Security Engineer,160000,US,100,M
277,2022,SE,FT,Security Engineer,130000,US,100,M
278,2022,MI,FT,Vulnerability Management,115000,US,100,M
279,2022,MI,FT,Vulnerability Management,100000,US,100,M
280,2022,SE,FT,Security Engineer,131500,US,100,M
281,2022,SE,FT,Security Engineer,111775,US,100,M
282,2022,SE,FT,Security Engineer,221500,US,100,M
283,2022,SE,FT,Security Engineer,104400,US,100,M
284,2022,SE,FT,Security Engineer,210000,US,0,M
285,2022,SE,FT,Security Engineer,160000,US,0,M
286,2022,MI,FT,Security Engineer,140000,US,100,S
287,2022,MI,FT,Security Engineer,90000,US,100,S
288,2022,SE,FT,Security Engineer,165400,US,100,M
289,2022,SE,FT,Security Engineer,132320,US,100,M
290,2022,MI,FT,Security Analyst,60000,US,100,M
291,2022,MI,FT,Security Analyst,50000,US,100,M
292,2022,SE,FT,Chief Information Security Officer,267840,US,100,M
293,2022,SE,FT,Chief Information Security Officer,214056,US,100,M
294,2022,SE,FT,Security Engineer,201000,US,100,M
295,2022,SE,FT,Security Engineer,160080,US,100,M
296,2022,MI,FT,Security Engineer,172000,US,0,M
297,2022,MI,FT,Security Engineer,87000,US,0,M
298,2022,MI,FT,Security Engineer,141300,US,0,M
299,2022,MI,FT,Security Engineer,102100,US,0,M
300,2022,MI,FT,Security Engineer,141300,US,0,M
301,2022,MI,FT,Security Engineer,88100,US,0,M
302,2022,SE,FT,DevSecOps,120000,US,100,M
303,2022,SE,FT,DevSecOps,30000,US,100,M
304,2022,SE,FT,Threat Intelligence,222500,US,100,M
305,2022,SE,FT,Threat Intelligence,135000,US,100,M
306,2022,EX,FT,Chief Information Security Officer,300000,US,100,M
307,2022,EX,FT,Chief Information Security Officer,250000,US,100,M
310,2022,SE,FT,Security Analyst,168400,US,100,M
311,2022,SE,FT,Security Analyst,148000,US,100,M
312,2022,SE,FT,Security Engineer,165400,US,100,M
313,2022,SE,FT,Security Engineer,132320,US,100,M
314,2022,SE,FT,Security Engineer,200100,US,100,M
315,2022,SE,FT,Security Engineer,160080,US,100,M
316,2022,SE,FT,Security Engineer,220100,US,100,M
317,2022,SE,FT,Security Engineer,176080,US,100,M
320,2022,MI,FT,Security Analyst,65000,US,100,M
321,2022,MI,FT,Security Analyst,55000,US,100,M
322,2022,SE,FT,Security Engineer,230000,US,0,M
323,2022,SE,FT,Security Engineer,190000,US,0,M
324,2022,SE,FT,Security Engineer,182750,US,100,M
325,2022,SE,FT,Security Engineer,153000,US,100,M
326,2022,MI,FT,Security Engineer,210000,US,100,M
327,2022,MI,FT,Security Engineer,140000,US,100,M
328,2022,SE,FT,Security Engineer,207000,US,100,M
329,2022,SE,FT,Security Engineer,153000,US,100,M
330,2022,MI,FT,Security Engineer,182000,US,100,M
331,2022,MI,FT,Security Engineer,153000,US,100,M
332,2022,SE,FT,Security Engineer,220100,US,100,M
333,2022,SE,FT,Security Engineer,176080,US,100,M
334,2022,SE,FT,Security Engineer,120000,US,100,M
335,2022,SE,FT,Security Engineer,90000,US,100,M
336,2022,MI,FT,Security Analyst,60000,US,100,M
337,2022,MI,FT,Security Analyst,50000,US,100,M
338,2022,SE,FT,Security Engineer,276900,US,100,M
339,2022,SE,FT,Security Engineer,104400,US,100,M
340,2022,SE,FT,Security Engineer,192400,US,100,M
341,2022,SE,FT,Security Engineer,90700,US,100,M
344,2022,MI,FT,Security Engineer,208775,US,100,M
345,2022,MI,FT,Security Engineer,147800,US,100,M
346,2022,SE,FT,DevSecOps,157000,US,0,M
347,2022,SE,FT,DevSecOps,108000,US,0,M
348,2022,MI,FT,DevSecOps,152000,US,0,M
349,2022,MI,FT,DevSecOps,91000,US,0,M
350,2022,SE,FT,Security Engineer,200100,US,100,M
351,2022,SE,FT,Security Engineer,160080,US,100,M
353,2022,MI,FT,Security Engineer,200000,US,100,L
356,2022,EX,FT,Security Director,220000,US,100,M
357,2022,EN,FT,Security Architect,150000,GH,100,M
358,2022,SE,FT,Security Engineer,271600,US,100,L
359,2022,MI,FT,Security Consultant,122500,US,100,S
360,2022,MI,FT,Security Architect,129000,US,100,L
361,2022,SE,FT,Security Engineer,260000,US,100,L
362,2022,SE,FT,Security Manager,145000,US,100,L
363,2022,SE,FT,Security Researcher,135000,ES,100,S
365,2022,MI,FT,Threat Intelligence,126000,US,0,M
366,2022,MI,FT,Security Engineer,122000,US,50,L
369,2022,MI,FT,Incident Response,140000,US,100,L
370,2022,SE,FT,Security Architect,150000,US,100,L
371,2021,SE,FT,Security Researcher,172500,US,100,L
372,2022,MI,FT,Threat Intelligence,120000,US,50,L
373,2022,EX,FT,Security Analyst,259000,US,50,L
374,2022,SE,FT,Threat Intelligence,180000,US,50,L
375,2022,SE,FT,Security Manager,250000,US,100,L
376,2022,EN,FT,Threat Intelligence,105000,US,100,L
377,2022,SE,FT,Security Analyst,104000,US,100,M
378,2022,SE,FT,Security Researcher,192500,US,100,S
381,2021,SE,FT,Security Engineer,190000,US,0,L
382,2022,MI,FT,Security Engineer,100000,US,100,L
384,2022,SE,FT,Security Architect,224000,US,100,L
385,2022,SE,FT,Security Analyst,125000,US,100,L
386,2021,SE,FT,Threat Intelligence,120000,US,100,L
389,2022,SE,FT,Security Engineer,215000,US,100,L
390,2022,MI,FT,Security Engineer,260000,US,100,L
393,2021,EN,FT,Penetration Tester,50000,US,100,L
394,2022,SE,FT,Security Consultant,149000,US,100,M
395,2020,SE,FT,Security Engineer,107000,US,0,L
396,2022,SE,FT,Security Consultant,140000,US,100,M
397,2022,SE,FT,Security Engineer,232000,CA,100,L
398,2022,SE,FT,Security Manager,127000,US,100,L
401,2022,MI,FT,Security Engineer,130000,US,100,S
402,2022,SE,FT,Security Manager,135000,US,0,L
403,2021,SE,FT,Security Manager,135000,US,0,L
404,2022,EX,FT,Security Architect,325000,US,100,L
405,2021,EN,FT,Security Researcher,100000,US,50,L
406,2022,SE,FT,Security Manager,150000,US,100,L
407,2022,MI,FT,Security Engineer,130000,US,100,M
408,2022,SE,FT,Incident Response,135000,US,100,M
409,2022,SE,FT,Incident Response,100000,US,100,M
410,2022,EN,FT,Security Analyst,85000,US,0,L
411,2021,SE,FT,Security Analyst,180000,US,100,L
412,2022,SE,FT,Security Engineer,150000,US,100,L
413,2022,EN,FT,Security Analyst,55000,US,0,M
414,2021,SE,FT,Incident Response,175000,US,100,M
415,2022,EN,FT,Security Engineer,70000,US,100,L
416,2021,EN,FT,Security Engineer,200000,US,100,L
419,2022,MI,FT,Security Analyst,90000,US,100,L
420,2022,EX,FT,Security Manager,201000,US,100,L
421,2022,SE,FT,Security Engineer,196000,US,100,L
422,2021,SE,FT,Security Researcher,137000,US,50,M
423,2022,MI,FT,Security Analyst,180000,US,100,L
424,2022,MI,FT,Security Engineer,250000,US,100,L
425,2021,SE,FT,Security Architect,128000,US,100,L
426,2022,SE,FT,Threat Intelligence,150000,US,100,L
427,2022,MI,FT,Security Engineer,150000,US,0,L
428,2022,MI,FT,Security Manager,180000,US,100,L
429,2022,SE,FT,Vulnerability Management,130000,US,0,L
430,2022,MI,FT,Incident Response,127000,US,100,L
431,2022,MI,FT,Security Engineer,108856,US,0,L
435,2022,MI,FT,Incident Response,87000,US,50,L
438,2022,SE,FT,Security Engineer,130000,US,50,L
440,2022,SE,FT,Security Researcher,92000,FR,100,L
441,2022,MI,FT,DevSecOps,150000,US,100,L
442,2021,SE,FT,Penetration Tester,160000,US,100,L
443,2021,SE,FT,Security Engineer,150000,US,50,L
445,2021,MI,FT,Security Analyst,55000,US,50,L
446,2022,SE,FT,Security Manager,260000,US,100,L
449,2021,SE,FT,Security Manager,145000,US,0,L
450,2021,SE,FT,Security Manager,135000,US,0,L
451,2021,MI,FT,Security Analyst,88000,US,0,L
452,2021,MI,FT,Security Analyst,84000,US,0,L
453,2021,SE,FT,Security Engineer,120000,US,100,M
454,2022,SE,FT,Security Engineer,146000,US,100,L
458,2022,EN,FT,Threat Intelligence,60000,US,100,M
459,2022,SE,FT,Vulnerability Management,175000,US,100,L
460,2022,SE,FT,Security Architect,160000,US,100,L
462,2022,MI,FT,Security Engineer,130000,US,100,M
464,2021,EN,FT,Security Analyst,84300,US,100,L
465,2022,EN,FT,Penetration Tester,50000,US,100,S
466,2022,EN,FT,Incident Response,85000,US,100,L
467,2022,MI,FT,Security Manager,171200,US,100,L
468,2021,MI,FT,Security Analyst,66000,US,100,L
469,2022,EX,FT,Security Director,270000,US,50,L
470,2022,MI,FT,Security Analyst,84583,US,0,L
471,2021,EN,FT,Security Analyst,70000,US,0,L
472,2022,EN,FT,Penetration Tester,63000,US,50,L
